price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,all_time_promised_amount,promised_amount,promised_fulfilled,price_calculated,epoch
"1","1","0","1","99.990000000","1.000000000","100.000000000","100.000000000","1.010000000","1.010000000","0.000000000","1","5"
"1","2","1","2","99.980100000","0.000000000","102.000000000","102.000000000","2.019900000","2.019900000","0.000000000","1","6"
"1.022904049","3","3","3","99.959142568","0.023015851","101.990000000","104.268310090","3.052714258","2.042714258","1.010000000","1.0229040491563093","8"
"1.034520442","3","3","3","99.916516282","0.013115851","101.990000000","105.429474833","4.096812021","2.076912021","2.019900000","1.0345204427590853","9"
"1.04613918","4","3","4","99.863687915","0.013115851","102.990000000","107.590378643","5.152077844","3.132177844","2.019900000","1.0461391806291174","10"
"1.056599251","4","3","3","0.000000000","0.068134684","101.990000000","107.547126800","110.667975697","107.615261439","3.052714258","1","11"
"1.056599251","3","2","3","0.000000000","0.595279943","107.000000000","107.009702969","110.667975697","106.571163676","4.096812021","1","12"
"1.056599251","2","1","2","0.000000000","0.569025997","106.000000000","106.000000000","110.667975697","105.515897853","5.152077844","1","13"
"1.056599251","2","2","2","0.000000000","0.052152747","2.000000000","2.009423075","110.667975697","0.000000000","0.000000000","1","15"
