price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,all_time_promised_amount,promised_amount,promised_fulfilled,price_calculated,epoch
"1","1","1","1","0.500000000","0.000000000","1.000000000","1.000000000","0.500000000","0.500000000","0.000000000","1","4"
"1.023333332","2","1","2","49.598534249","1.000000000","101.000000000","101.011666666","51.255833315","51.255833315","0.000000000","1.0233333327188663","5"
"1.023568499","3","2","3","74.136463417","1.000000000","202.000000000","202.023330587","127.139581894","127.139581894","0.000000000","1.0235685005119806","6"
"1.039096498","4","3","3","85.668145272","1.500000000","302.000000000","303.174521381","216.157051635","215.657051635","0.500000000","1.0390964980433013","7"
"1.065811469","5","4","4","90.215810807","1.744166685","352.000000000","355.463143404","312.310097477","261.054264162","51.255833315","1.0658114699284986","8"
"1.103518087","6","5","4","90.870635138","1.860418106","377.000000000","383.864876490","412.587486927","285.447905033","127.139581894","1.1035180882219489","9"
"1.147003304","7","6","4","89.463089554","1.842948365","389.000000000","399.816405707","515.201946230","299.044894595","216.157051635","1.1470033059283273","10"
"1.189485446","8","7","4","87.186877153","1.689902523","394.000000000","408.616989204","618.909467684","306.599370207","312.310097477","1.1894854467376865","11"
"1.257968255","8","7","3","84.496298636","0.529364697","301.000000000","315.765479514","725.203129033","210.001182803","515.201946230","1.2579682556972163","13"
"1.304915727","9","8","3","81.312580010","0.325894394","306.000000000","318.179895998","831.309193489","212.399725805","618.909467684","1.304915728586534","15"
