price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,promised_amount,promised_fulfilled,price_calculated,epoch
"1","1","0","1","500000000","0","1000000000","1000000000","500000000","0","1","3"
"1","2","1","2","50750000000","500000000","50261666666","50261666666","0","50750000000","1.000229885044335","5"
"1.01142115","2","1","2","75304744860","500000000","76244031733","76244031733","0","76164811645","1.0191128311459763","7"
"1.030368078","2","1","2","86663983961","500000000","89654319918","89654319918","0","89295802584","1.0402743538604307","9"
"1.051538431","2","1","2","91356865326","535498839","97341430239","98276224207","0","96065254825","1.0816015051895433","12"
"1.091831835","3","2","2","91930976643","1535498839","197341430239","199210835036","100373166921","0","1.0918318353538652","13"
"1.112424967","5","4","3","91782899038","162331918","199341430239","204040845106","102101588432","0","1.1124249687267762","15"
"1.133071955","3","2","3","90460551911","1987295500","203000000000","203009333332","102498314403","0","1.1330719552744206","16"
"1.133277313","1","0","1","89791302084","679180482","102000000000","102000000000","0","101758445556","1.1435314790951951","18"
"1.148680202","2","1","2","89057093800","298120614","102000000000","102000000000","0","102298120494","1.1486802033281711","20"
"1.162321079","2","1","1","88150137941","458763579","102000000000","102000000000","0","102458763445","1.1623210805135318","22"
"1.171270651","2","1","2","87190637437","928266747","102000000000","102000000000","0","102123834671","1.1804967800742516","24"
"1.189401468","2","1","2","86053648673","144025580","103000000000","103000000000","0","102352336058","1.1986014209803313","26"
"1.207483034","2","1","2","84849358130","241088807","103000000000","103000000000","0","102454160386","1.2167574520578168","28"
"1.225626782","2","1","2","83628086747","271669928","103000000000","103000000000","0","102496822843","1.2348921749271595","30"
"1.242868641","3","2","2","82445851352","279192112","102864659744","102877014027","0","102469363225","1.2511994775647084","32"
"1.259331485","4","3","2","81323566827","1279192112","202864659744","203547464319","102413328177","0","1.259331485937703","33"
"1.271729034","1","0","1","80499120797","373069180","102000000000","102000000000","0","102373069127","1.271729034633322","35"
"1.275816743","2","2","2","79959277313","13384900","102000000000","102636718777","0","102013384752","1.2837797829909958","38"
"1.291900026","3","2","3","79069350658","1013384900","202000000000","203286007570","102149696170","0","1.2919000276330814","39"
"1.300110611","2","1","2","78377524191","1798901808","202000000000","202000000000","101899450864","0","1.3001106120126846","40"
"1.307282198","1","0","1","77818523935","293359904","102000000000","102000000000","0","101730771014","1.3145116963339378","42"
"1.325371427","2","2","2","77325512549","935540613","101000000000","101549484353","0","102485024909","1.325371427716781","45"
"1.350527975","3","2","2","76557069629","311738443","102000000000","103080725907","0","103392464217","1.350527976724369","49"
"1.357654964","3","2","2","75475025299","960048683","102000000000","102004784418","0","102469042753","1.3642238964888989","51"
"1.37059554","4","3","2","74582809822","1960048683","202000000000","202485684408","102222866502","0","1.3705955411570845","52"
"1.377106313","2","1","2","73962502485","708458236","101617305249","101617305249","0","101854229097","1.3834816298400967","54"
"1.389865583","2","1","1","73315700111","375766900","102000000000","102000000000","0","101898968277","1.3963689461466378","56"
"1.40270899","2","1","2","72659615428","394329291","102000000000","102000000000","0","101920295770","1.4092330201288332","58"
"1.415570196","3","2","2","72004477971","1394329291","202000000000","202460456754","101927392994","0","1.4155701967876433","59"
"1.424962199","2","1","2","71513309594","396972834","101506790093","101506790093","0","101903762896","1.4249621994218231","61"
"1.430708153","2","1","2","71053860481","72287039","102000000000","102000000000","0","101657337492","1.436548082651954","63"
"1.442254421","3","2","2","70541556812","1072287039","202000000000","202405457323","101738872174","0","1.4422544211654391","64"
"1.448116209","2","1","2","70143670263","152371858","101825943867","101825943867","0","101576185866","1.4538491547795784","66"
"1.459605829","3","2","3","69670217069","1152371858","201825943867","202229738162","101691054940","0","1.459605830986391","67"
"1.465458404","2","1","2","69295315553","1098805085","202000000000","202000000000","101549402534","0","1.4654584042312457","68"
"1.474083308","1","0","1","68973589032","672816393","101000000000","101000000000","0","101672816284","1.474083309566932","70"
"1.476691959","3","2","3","68744774618","672816393","202000000000","202356895536","101514855900","0","1.4766919608522442","72"
"1.487004924","3","2","2","68333270124","1871725923","201000000000","201352092384","101611909145","0","1.487004924213511","73"
"1.492208472","3","3","2","68009091337","1259816778","201000000000","201707667888","101483742264","0","1.492208473998362","74"
"1.502576655","1","0","1","67613479894","943992044","101000000000","101000000000","0","101594436450","1.5077465647947885","76"
"1.507746564","1","0","1","67300432566","821333917","101000000000","101000000000","0","101471995957","1.512937287842038","78"
"1.512937287","1","0","1","67028995698","757556251","101000000000","101000000000","0","101410666900","1.5181125002897249","80"
"1.5181125","1","0","1","66779489704","688913325","101000000000","101000000000","0","101378778063","1.5227566693866033","82"
"1.522756669","1","0","1","66553283722","652660551","101000000000","101000000000","0","101344456631","1.52738760382754","84"
"1.527387604","2","1","2","66339631141","1652660551","201000000000","201000000000","101326330257","0","1.527387604532174","85"
"1.541252782","1","1","1","65806791171","820262546","100000000000","100604637532","0","101424899965","1.541252783689844","88"
"1.545846397","2","1","2","65571583087","1820262546","200000000000","200906928463","101363595459","0","1.5458463983630129","89"
"1.554614065","1","1","1","65034364394","834559034","100000000000","100268778650","0","101103337593","1.5546140663647001","91"
"1.558746712","2","1","2","64915005121","1834559034","200000000000","200537542599","101186050791","0","1.5587467127729813","92"
"1.562886731","2","2","2","64769505078","1648508243","200000000000","200806291886","101227400058","101186050791","1.562886731172252","93"
"1.5711517286582755","3","2","3","129053557444","421108185","201000000000","202876902421","0","101227400058","1.5752995471993616","95"
