immutable_pool_sui,immutable_pool_tokens,price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,all_time_promised_amount,promised_amount,promised_fulfilled,promised_amount_in_staked,extra_staked_in_promised,all_time_extra_amount,still_waiting_for_sui_amount,price_calculated,epoch,user_balance_sui,user_balance_tokens
"10000000000","10000000000","1","0","0","0","10.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","1","3","3989.912507608","0.000000000"
"10000000000","10000000000","1","1","0","1","110.000000000","0.000000000","100.000000000","100.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","1","4","3889.881973932","100.000000000"
"10000000000","10000000000","1","2","1","1","100.900000000","0.000000000","101.000000000","101.000000000","10.100000000","10.100000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","1","5","3888.872971292","90.900000000"
"10000000000","10000000000","1.011426518","3","2","2","92.699832314","0.000000000","102.000000000","103.152935752","19.393867048","19.393867048","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","1.0114265189435518","6","3887.863956492","82.699832314"
"10000000000","10000000000","1.023983854","4","3","2","85.308769191","0.000000000","103.000000000","105.316998623","27.962196349","27.962196349","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","1.0239838542086932","7","3886.854929532","75.308769191"
"10000000000","10000000000","1.037758049","4","4","2","78.645146446","0.314678538","93.900000000","97.077379721","35.877424486","25.777424486","10.100000000","0.000000000","0.000000000","0.000000000","0.000000000","1.0377580494307928","8","3885.848927220","68.645146446"
"10000000000","10000000000","1.051504409","1","1","1","10.000000000","0.272521832","84.988652040","88.906753877","108.058098630","88.664231582","19.393867048","0.000000000","0.000000000","0.000000000","0.000000000","1.0515044127","9","3885.853674872","0.000000000"
"10000000000","10000000000","1.051504409","1","1","1","10.000000000","0.478006889","76.692844571","81.111909052","108.058098630","80.095902281","17.862196349","0.000000000","0.000000000","0.000000000","0.000000000","1.149401366","10","3895.955688424","0.000000000"
"10000000000","10000000000","1.051504409","1","1","1","10.000000000","0.505619047","69.255623323","73.963962795","108.058098630","72.180674144","16.483557438","0.000000000","0.000000000","0.000000000","0.000000000","1.2288907698","11","3905.252547144","0.000000000"
"10000000000","10000000000","1.051504409","1","0","1","10.000000000","0.006575696","3.000000000","3.000000000","108.058098630","0.000000000","80.095902281","0.000000000","0.000000000","0.000000000","0.000000000","1.3006575696","12","3913.823868117","0.000000000"
"10000000000","10000000000","1.051504409","1","1","1","10.000000000","0.006575696","3.000000000","3.000000000","108.058098630","0.000000000","72.180674144","0.000000000","0.000000000","0.000000000","0.000000000","1.3006575696","13","3921.766949198","0.000000000"
"10000000000","10000000000","1.051504409","1","1","1","10.000000000","0.006575696","3.000000000","3.028543684","108.058098630","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","1.303511938","14","3993.948376290","0.000000000"
