price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,all_time_promised_amount,promised_amount,promised_fulfilled,price_calculated,epoch
"1","1","0","1","0.500000000","0.000000000","1.000000000","1.000000000","0.500000000","0.500000000","0.000000000","1","3"
"1","2","1","2","50.750000000","1.000000000","101.000000000","101.000000000","51.250000000","51.250000000","0.000000000","1","4"
"1.000229885","3","2","3","75.863393434","1.000000000","202.000000000","202.011666666","127.130833289","127.130833289","0.000000000","1.0002298861441674","5"
"1.015581159","4","3","3","87.656920061","1.500000000","302.000000000","303.176266341","216.153549758","215.653549758","0.500000000","1.015581160290021","6"
"1.060636276","5","4","3","92.293238119","0.337770562","280.165817034","284.464058664","314.043106135","186.912272846","127.130833289","1.060636276016064","8"
"1.11171955","7","6","4","92.280267076","0.315054093","292.165817034","302.754056403","416.632883122","200.479333364","216.153549758","1.111719551564684","10"
"1.160191027","9","8","4","90.292557652","0.425497716","295.165817034","311.677509754","521.389498314","207.346392179","314.043106135","1.1601910280883445","12"
"1.193249338","9","8","4","87.467693433","1.541888897","300.165817034","311.956260934","625.760265599","209.127382477","416.632883122","1.1932493387852705","13"
"1.21565278","10","9","4","85.275313821","1.541888897","401.165817034","414.915838251","729.425437910","312.792554788","416.632883122","1.2156527805643946","14"
"1.250340891","10","9","4","83.026642305","1.227310460","406.165817034","414.431841026","833.237043826","311.847545512","521.389498314","1.2503408916940906","15"
