price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,all_time_promised_amount,promised_amount,promised_fulfilled,price_calculated,epoch
"1","2","1","2","99.990000000","0.000000000","101.000000000","101.000000000","1.010000000","1.010000000","0.000000000","1","4"
"1.011667777","3","2","3","99.968682122","0.000000000","102.000000000","103.166661111","2.031566609","2.031566609","0.000000000","1.0116677779004482","5"
"1.023450628","4","3","3","99.936311136","0.000000000","103.000000000","105.344577129","3.064696713","3.064696713","0.000000000","1.0234506282387261","6"
"1.03534858","5","4","3","99.893147723","0.035341546","102.990000000","106.488273014","4.109385891","3.099385891","1.010000000","1.0353485802228553","7"
"1.047243825","5","5","3","99.839554835","0.013774937","102.990000000","107.676526468","5.165510711","3.133944102","2.031566609","1.047243825113155","8"
"1.059254292","5","4","3","99.775779053","0.026746514","102.990000000","108.829544549","6.233065480","3.168368767","3.064696713","1.0592542929668283","9"
"1.071154289","5","4","4","99.702257864","0.027623131","102.990000000","109.971310182","7.311818015","3.202432124","4.109385891","1.0711542895515664","10"
"1.081865323","4","3","2","99.620321459","0.968634300","110.000000000","110.042088467","8.400462168","3.234951457","5.165510711","1.0818653235761388","11"
"1.082161621","4","4","2","99.538953866","0.901079531","110.000000000","110.071605758","9.488515053","3.255449573","6.233065480","1.0821616214794627","12"
"1.092786063","4","4","2","99.449505603","0.822326996","110.000000000","111.129151596","10.586262867","3.274444852","7.311818015","1.0927860634504918","13"
