immutable_pool_sui,immutable_pool_tokens,price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,all_time_promised_amount,promised_amount,promised_fulfilled,extra_staked_in_promised,price_calculated,epoch
"10000000000","10000000000","1","1","0","1","108.980000000","1.000000000","100.000000000","100.000000000","0.000000000","0.000000000","0.000000000","0","1.0185355111029546","5"
"10000000000","10000000000","1","2","1","2","107.980400000","0.000000000","102.000000000","99.980000000","0.000000000","0.000000000","0.000000000","0","1.0185181755207426","6"
"10000000000","10000000000","1.010128922","3","2","3","106.990965192","0.000000000","103.000000000","100.074125054","0.000000000","0.000000000","0.000000000","0","1.0288170113847195","7"
"10000000000","10000000000","1.020349222","4","3","4","106.011601365","0.000000000","104.000000000","100.168148183","0.000000000","0.000000000","0.000000000","0","1.0392084145931249","8"
"10000000000","10000000000","1.030556623","5","4","4","105.042311748","0.000000000","105.000000000","100.250958005","0.000000000","0.000000000","0.000000000","0","1.0495861731365521","9"
"10000000000","10000000000","1.040751188","5","5","4","10.000950424","0.000000000","105.000000000","99.322910830","98.914409707","98.914409707","0.000000000","0","1.0407511968084524","10"
"10000000000","10000000000","1.040751188","5","5","4","10.000950424","0.000000000","105.000000000","100.296271246","98.914409707","98.914409707","0.000000000","0","1.1380779882366108","11"
"10000000000","10000000000","1.040751188","5","5","4","10.000950424","0.000000000","105.000000000","101.269438921","98.914409707","98.914409707","0.000000000","0","1.235385507396452","12"
"10000000000","10000000000","1.040751188","3","3","3","10.000950424","0.205563748","12.884124266","3.152150998","98.914409707","0.000000000","0.000000000","621015508","1.3356445317381567","14"
