price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending,staked_balance,staked_with_rewards_balance,promised_amount,promised_fulfilled,price_calculated,epoch
"1","1","1","1","1000000000","0","1000000000","1545372129","0","0","1.545372129","74"
"1","1","1","1","1000000000","0","1000000000","1550774462","0","0","1.550774462","75"
"1","1","1","1","1000000000","0","1000000000","1556176411","0","0","1.556176411","76"
"1","1","1","1","1000000000","0","1000000000","1561577978","0","0","1.561577978","77"
"1","1","1","1","1000000000","0","1000000000","1566979163","0","0","1.566979163","78"
"1","1","1","1","1000000000","0","1000000000","1572379969","0","0","1.572379969","79"
"1","1","1","1","1000000000","0","1000000000","1577780395","0","0","1.577780395","80"
"1","1","1","1","1000000000","0","1000000000","1582640440","0","0","1.58264044","81"
"1","1","1","1","1000000000","0","1000000000","1587500180","0","0","1.58750018","82"
"1","1","1","1","1000000000","0","1000000000","1592359617","0","0","1.592359617","83"
"1","1","1","1","1000000000","0","1000000000","1597218751","0","0","1.597218751","84"
"1","1","1","1","1000000000","0","1000000000","1602077583","0","0","1.602077583","85"
"1","1","1","1","1000000000","0","1000000000","1606936114","0","0","1.606936114","86"
"1","1","1","1","1000000000","0","1000000000","1611794346","0","0","1.611794346","87"
"1","1","1","1","1000000000","0","1000000000","1616652279","0","0","1.616652279","88"
"1","1","1","1","1000000000","0","1000000000","1621509914","0","0","1.621509914","89"
"1","1","1","1","1000000000","0","1000000000","1626367252","0","0","1.626367252","90"
"1","1","1","1","1000000000","0","1000000000","1630738590","0","0","1.63073859","91"
"1","1","1","1","1000000000","0","1000000000","1635109688","0","0","1.635109688","92"
"1","1","1","1","1000000000","0","1000000000","1639480549","0","0","1.639480549","93"
"1","1","1","1","1000000000","0","1000000000","1643851171","0","0","1.643851171","94"
"1","1","1","1","1000000000","0","1000000000","1648221556","0","0","1.648221556","95"
"1","1","1","1","1000000000","0","1000000000","1652591705","0","0","1.652591705","96"
"1","1","1","1","1000000000","0","1000000000","1656961618","0","0","1.656961618","97"
"1","1","1","1","1000000000","0","1000000000","1661331296","0","0","1.661331296","98"
"1","1","1","1","1000000000","0","1000000000","1665700739","0","0","1.665700739","99"
"1","1","1","1","1000000000","0","1000000000","1670069948","0","0","1.670069948","100"
"1","1","1","1","1000000000","0","1000000000","1674002027","0","0","1.674002027","101"
"1","1","1","1","1000000000","0","1000000000","1677933917","0","0","1.677933917","102"
"1","1","1","1","1000000000","0","1000000000","1681865619","0","0","1.681865619","103"
"1","1","1","1","1000000000","0","1000000000","1685797133","0","0","1.685797133","104"
