price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,promised_amount,promised_fulfilled,price_calculated,epoch
"1","1","0","1","500000000","0","1000000000","1000000000","500000000","0","1","5"
"1","1","1","1","750000000","500000000","1000000000","1000000000","750000000","0","1","6"
"1.015193797","1","1","1","867516800","750000000","1000000000","1011395348","880697673","0","1.0151937979760162","7"
"1.028326371","1","1","1","919985355","869302327","1000000000","1022788076","946045200","0","1.0283263726518777","8"
"1.040707157","1","1","1","940435227","923257127","1000000000","1034178216","978717671","0","1.0407071576020408","9"
"1.052815997","1","1","1","945134409","944539456","1000000000","1045565796","995052625","0","1.052815998999355","10"
"1.063657361","1","1","1","942643395","949486831","1000000000","1055812340","1002649584","0","1.0636573621777725","11"
"1.074525221","1","1","1","936643488","946837247","1000000000","1066056855","1006447050","1002649584","1.0745252221301944","12"
"1.085460553","1","1","1","928955710","940390197","1000000000","1076299362","1008344778","1006447050","1.0854605554876238","13"
"1.096484243","1","1","1","920480760","932045419","1000000000","1086539880","1009292648","1008344778","1.0964842448200656","14"
"1.107607288","1","1","1","911663917","922752771","1000000000","1096778428","1009765598","1009292648","1.1076072905493746","15"
"1.118835768","1","1","1","902725072","912987173","1000000000","1107015026","1010001099","2019058246","1.1188357688596469","16"
"1.130173292","1","1","1","893772566","902986074","1000000000","1117249693","1010117882","2019766697","1.1301732939965847","17"
"1.14162224","1","1","1","884859531","892868192","1000000000","1127482447","1010175318","2020118981","1.141622241282046","18"
"1.153184369","1","1","1","876011779","882692874","1000000000","1137713306","1010203088","2020293200","1.15318437059509","19"
"1.164861133","1","1","1","867241604","872489786","1000000000","1147942288","1010216035","2020378406","1.1648611348216638","20"
"1.175474566","1","1","1","858980920","862273751","1000000000","1157146697","1009710222","3030594441","1.175474568166194","21"
"1.186188329","1","1","1","851008686","852563529","1000000000","1166349613","1009456570","3030129345","1.18618832992734","22"
"1.197000715","1","1","1","843215038","843106959","1000000000","1175551047","1009329000","3029382827","1.1970007181015194","23"
"1.207911296","1","1","1","835545199","833777959","1000000000","1184751011","1009264484","3028495792","1.207911298165451","24"
"1.218920286","1","1","1","827971696","824513475","1000000000","1193949518","1009231495","3028050054","1.2189202878258776","25"
"1.230028229","1","1","1","820480584","815281980","1000000000","1203146579","1009214278","3027824979","1.2300282306253818","26"
"1.24123584","1","1","1","813064625","806067702","1000000000","1212342205","1009204952","3027710257","1.241235842722834","27"
"1.252543925","1","1","1","805719910","796862750","1000000000","1221536407","1009199577","3027650725","1.2525439268343264","28"
"1.263953339","1","1","1","798444178","787663173","1000000000","1230729198","1009196184","3027618807","1.2639533417701243","29"
"1.275464967","1","1","1","791235992","778466989","1000000000","1239920588","1009193788","3027600713","1.275464967726089","30"
"1.285918232","1","1","1","784445207","769273201","1000000000","1248191587","1008732393","3027589549","1.2859182336746688","31"
"1.296460564","1","1","1","777888017","760540808","1000000000","1256461468","1008501137","3027122365","1.2964605662514017","32"
"1.307090336","1","1","1","771473040","752039671","1000000000","1264730239","1008384953","3026427318","1.3070903385035983","33"
"1.317807067","1","1","1","765154731","743654718","1000000000","1272997906","1008326311","3025618483","1.3178070684895236","34"
"1.328610858","1","1","1","758910283","735328407","1000000000","1281264477","1008296440","3025212401","1.3286108603169369","35"
"1.339502113","1","1","1","752728162","727031967","1000000000","1289529961","1008280963","3025007704","1.3395021149746753","36"
"1.35048138","1","1","1","746602433","718751004","1000000000","1297794363","1008272682","3024903714","1.3504813813002938","37"
"1.36154929","1","1","1","740529934","710478322","1000000000","1306057691","1008268005","3024850085","1.3615492928878685","38"
"1.37270652","1","1","1","734508884","702210317","1000000000","1314319952","1008265134","3024821650","1.3727065212733356","39"
"1.383953767","1","1","1","728538187","693945183","1000000000","1322581154","1008263168","3024805821","1.3839537679580824","40"
"1.394157947","1","1","1","722908515","685682015","1000000000","1330015288","1007848651","3024796307","1.394157948187953","41"
"1.404440418","1","1","1","717467936","677833364","1000000000","1337448573","1007640967","3024376953","1.4044404208747805","42"
"1.414799689","1","1","1","712140888","670192397","1000000000","1344881016","1007536705","3023752786","1.4147996905915616","43"
"1.425235273","1","1","1","706889715","662655692","1000000000","1352312621","1007484155","3023026323","1.4252352759157063","44"
"1.4357472","1","1","1","701695580","655171537","1000000000","1359743392","1007457464","3022661827","1.4357472010868302","45"
"1.446335757","1","1","1","696548985","647714073","1000000000","1367173335","1007443703","3022478324","1.4463357591426251","46"
"1.457001367","1","1","1","691445070","640270370","1000000000","1374602453","1007436410","3022385322","1.4570013681636345","47"
"1.467744521","1","1","1","686381276","632833960","1000000000","1382030753","1007432355","3022337577","1.4677445222150844","48"
"1.478565744","1","1","1","681356189","625401605","1000000000","1389458237","1007429920","3022312468","1.4785657461753825","49"
"1.489465588","1","1","1","676368965","617971685","1000000000","1396884912","1007428298","3022298685","1.4894655892438826","50"
"1.499346707","1","1","1","671663055","610543387","1000000000","1403568193","1007055789","3022290573","1.4993467088940897","51"
"1.509296092","1","1","1","667111786","603487598","1000000000","1410250826","1006869211","3021914007","1.5092960941931253","52"
"1.519312386","1","1","1","662652137","596618387","1000000000","1416932812","1006775599","3021353298","1.519312386975672","53"
"1.529395118","1","1","1","658252704","589842788","1000000000","1423614155","1006728470","3020700599","1.5293951196590907","54"
"1.539544268","1","1","1","653897786","583114318","1000000000","1430294859","1006704588","3020373280","1.539544269079388","55"
"1.549760034","1","1","1","649579487","576409730","1000000000","1436974925","1006692326","3020208657","1.5497600357567942","56"
