price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,all_time_promised_amount,promised_amount,promised_fulfilled,price_calculated,epoch
"1","1","0","1","99.990000000","1.000000000","100.000000000","100.000000000","1.010000000","1.010000000","0.000000000","1","5"
"1","2","1","2","99.980100000","0.000000000","102.000000000","102.000000000","2.019900000","2.019900000","0.000000000","1","6"
"1.011397563","3","2","2","99.959142568","0.000000000","103.000000000","104.139529584","3.041096294","3.041096294","0.000000000","1.0113975639719495","7"
"1.023020276","4","3","3","99.927273897","0.023015851","102.990000000","105.268310091","4.073698590","3.063698590","1.010000000","1.0230202762998528","8"
"1.034640374","4","4","3","99.884855369","0.013115851","102.990000000","106.429474833","5.117586510","3.097686510","2.019900000","1.034640374581489","9"
"1.046373034","4","3","3","0.000998849","0.059490453","101.990000000","106.533818980","109.633360504","106.592264210","3.041096294","1.0464274379811163","10"
"1.046373034","3","2","2","0.000998849","0.574014957","106.000000000","106.020919144","109.633360504","105.559661914","4.073698590","1036.4651583973152","11"
"1.046373034","2","1","2","0.000998849","0.570655098","105.000000000","105.000000000","109.633360504","104.515773994","5.117586510","1056.0966712686302","12"
"1.046373034","2","2","1","0.000998849","0.054092503","2.000000000","2.009514562","109.633360504","0.000000000","0.000000000","2065.9850137508274","14"
