immutable_pool_sui,immutable_pool_tokens,price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,all_time_promised_amount,promised_amount,promised_fulfilled,promised_amount_in_staked,extra_staked_in_promised,price_calculated,epoch,user_balance_sui,user_balance_tokens
"10000000000","10000000000","1","0","0","0","10.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","1","3","3989.913664024","0.000000000"
"10000000000","10000000000","1","1","0","1","110.000000000","0.000000000","100.000000000","100.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","1","4","3889.883130956","100.000000000"
"10000000000","10000000000","1","2","1","2","108.980000000","0.000000000","98.980000000","101.000000000","2.020000000","0.000000000","0.000000000","2.020000000","0.000000000","1.0185355111029546","5","3888.872966732","98.980000000"
"10000000000","10000000000","1.01036563","3","2","2","107.970345899","0.000000000","97.982905418","101.109646450","4.040119800","0.000000000","0.000000000","4.040119800","0.000000000","1.0290755811224004","6","3887.862790348","97.970345899"
"10000000000","10000000000","1.020718095","4","3","3","106.971047364","0.000000000","97.008426965","101.207285879","6.060121896","0.000000000","0.000000000","6.060121896","0.000000000","1.039601729808113","7","3886.852601804","96.971047364"
"10000000000","10000000000","1.03105746","5","4","3","105.982106906","0.000000000","96.056277961","101.293296482","8.079776331","0.000000000","0.000000000","8.079776331","0.000000000","1.0501140214235476","8","3885.842401100","95.982106906"
"10000000000","10000000000","1.04138379","5","5","3","10.000000000","0.000000000","96.056277961","100.368048238","108.033986592","99.954210261","0.000000000","8.079776331","0.000000000","1.0413837977","9","3885.871160952","0.000000000"
"10000000000","10000000000","1.04138379","5","5","3","10.000000000","0.000000000","96.056277961","101.473219634","108.033986592","99.954210261","0.000000000","6.059776331","0.116392976","1.1519009373","10","3887.867290804","0.000000000"
"10000000000","10000000000","1.04138379","5","5","3","10.000000000","0.000000000","96.056277961","102.467652949","108.033986592","99.954210261","0.000000000","4.039656531","0.229140070","1.2513442688","11","3889.891529736","0.000000000"
"10000000000","10000000000","1.04138379","3","3","3","10.000000000","0.380503851","3.000000000","3.127175326","108.033986592","0.000000000","99.954210261","2.019654435","0.338311878","1.3507679177","12","3891.916852296","0.000000000"
"10000000000","10000000000","1.04138379","3","3","3","10.000000000","0.380503851","3.000000000","3.157220737","108.033986592","0.000000000","99.954210261","0.000000000","0.443977868","1.3537724588","13","3893.940638023","0.000000000"
"10000000000","10000000000","1.04138379","3","3","3","10.000000000","0.380503851","3.000000000","3.187260315","108.033986592","0.000000000","0.000000000","0.000000000","0.443977868","1.3567764166","14","3993.922589288","0.000000000"
