price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,promised_amount,promised_fulfilled,price_calculated,epoch
"1","1","0","1","0.500000000","0.000000000","1.000000000","1.000000000","0.500000000","0.000000000","1","3"
"1","2","1","2","50.750000000","1.000000000","101.000000000","101.000000000","51.250000000","0.000000000","1","4"
"1.007905522","3","3","3","75.863393434","0.500000000","202.000000000","203.176266340","127.213133158","0.500000000","1.0079055222928008","6"
"1.038424242","4","3","3","86.563072891","1.750000000","251.000000000","254.491520001","166.352326510","51.250000000","1.0384242436054487","7"
"1.065164531","5","4","3","90.692052395","1.750000000","352.000000000","357.806241430","262.954283963","51.250000000","1.065164531135099","8"
"1.096698395","6","5","3","91.393326159","1.286866842","377.000000000","385.666112325","286.722064916","127.713133158","1.0966983965177606","9"
"1.140151764","7","6","3","89.989012190","1.397673490","388.000000000","400.637460114","299.434002551","217.602326510","1.1401517647106867","10"
"1.205066785","7","6","4","87.689722058","0.490465779","301.000000000","313.454608222","208.273102424","414.435198074","1.2050667865853895","12"
"1.250044846","8","7","4","84.622294379","0.595521571","307.000000000","316.639775850","211.453634380","517.036329061","1.250044847132518","14"
"1.297300835","9","8","4","81.601239005","0.811361879","308.872757446","316.693012123","211.643018441","622.708300498","1.2973008357693379","16"
