immutable_pool_sui,immutable_pool_tokens,price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,all_time_promised_amount,promised_amount,promised_fulfilled,promised_amount_in_staked,extra_staked_in_promised,all_time_extra_amount,price_calculated,epoch,user_balance_sui,user_balance_tokens
"10000000000","10000000000","1","0","0","0","10.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","1","3","3989.911094008","0.000000000"
"10000000000","10000000000","1","1","0","1","110.000000000","0.000000000","100.000000000","100.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","1","4","3889.880560332","100.000000000"
"10000000000","10000000000","1","2","1","2","100.900000000","0.000000000","101.000000000","101.000000000","10.100000000","10.100000000","0.000000000","0.000000000","0.000000000","0.000000000","1","5","3888.871557692","90.900000000"
"10000000000","10000000000","1.011426518","3","2","2","92.699832314","0.000000000","102.000000000","103.152935752","19.393867048","19.393867048","0.000000000","0.000000000","0.000000000","0.000000000","1.0114265189435518","6","3887.862542892","82.699832314"
"10000000000","10000000000","1.023983855","4","3","2","85.308769189","0.000000000","103.000000000","105.316998730","27.962196357","27.962196357","0.000000000","0.000000000","0.000000000","0.000000000","1.02398385539319","7","3886.853515932","75.308769189"
"10000000000","10000000000","1.03775805","5","4","2","78.645146443","0.000000000","94.237584898","97.392058368","35.877424502","25.777424502","0.000000000","10.100000000","0.000000000","0.000000000","1.037758050652906","8","3885.843289540","68.645146443"
"10000000000","10000000000","1.051407362","5","5","2","10.000000001","0.000000000","85.353296568","89.171643411","108.051436836","88.657569788","0.000000000","19.393867048","0.000000000","0.000000000","1.0514073621948592","9","3885.869881112","0.000000001"
"10000000000","10000000000","1.051407362","5","5","2","10.000000001","0.000000000","77.251778998","81.585199709","108.051436836","80.089240479","0.000000000","17.862196357","0.224928226","0.224928226","1.1495959228850403","10","3895.944823084","0.000000001"
"10000000000","10000000000","1.051407362","5","5","2","10.000000001","0.224928226","69.840412043","74.469503345","108.051436836","72.174012334","0.000000000","16.483557454","0.194418912","0.419347138","1.2520419235747957","11","3905.241621384","0.000000001"
"10000000000","10000000000","1.051407362","3","3","2","10.000000001","0.310235942","3.000000000","3.127175045","108.051436836","0.000000000","72.174012334","7.915228145","0.167921976","0.587269114","1.343741098565626","12","3913.817707945","0.000000001"
"10000000000","10000000000","1.051407362","3","3","2","10.000000001","0.478157918","3.000000000","3.157220451","108.051436836","0.000000000","72.174012334","0.000000000","0.153587098","0.740856212","1.3635378367636461","13","3921.737066774","0.000000001"
"10000000000","10000000000","1.051407362","3","3","2","10.000000001","0.631745016","3.000000000","3.187260028","108.051436836","0.000000000","0.000000000","0.000000000","0.000000000","0.740856212","1.38190050426181","14","3993.938818896","0.000000001"
