immutable_pool_sui,immutable_pool_tokens,price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,all_time_promised_amount,promised_amount,promised_fulfilled,promised_amount_in_staked,extra_staked_in_promised,price_calculated,epoch,user_balance_sui,user_balance_tokens
"10000000000","10000000000","1","0","0","0","10.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","1","3","3989.912697608","0.000000000"
"10000000000","10000000000","1","1","0","1","110.000000000","0.000000000","100.000000000","100.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","1","4","3889.882163932","100.000000000"
"10000000000","10000000000","1","2","1","1","108.980000000","0.000000000","101.000000000","101.000000000","2.020000000","2.020000000","0.000000000","0.000000000","0.000000000","1","5","3888.873161292","98.980000000"
"10000000000","10000000000","1.010579333","3","2","2","107.970140789","0.000000000","102.000000000","103.152935752","4.040542847","4.040542847","0.000000000","0.000000000","0.000000000","1.0105793333939634","6","3887.864146492","97.970140789"
"10000000000","10000000000","1.021360674","4","3","2","106.970242313","0.000000000","103.000000000","105.316998623","6.061799827","6.061799827","0.000000000","0.000000000","0.000000000","1.021360674086482","7","3886.855119532","96.970242313"
"10000000000","10000000000","1.032345594","4","4","2","105.980131971","0.035271659","101.980000000","105.436786600","8.083935874","6.063935874","2.020000000","0.000000000","0.000000000","1.0323455948794065","8","3885.849117220","95.980131971"
"10000000000","10000000000","1.043424813","2","2","1","10.000000000","0.071433042","99.980000000","104.554259430","108.231987127","104.191444280","4.040542847","0.000000000","0.000000000","1.0434248192","9","3885.853256872","0.000000000"
"10000000000","10000000000","1.043424813","1","0","1","10.000000000","0.755701945","103.000000000","103.000000000","108.231987127","102.170187300","4.041799827","0.000000000","0.000000000","1.1585514645","10","3887.875872344","0.000000000"
"10000000000","10000000000","1.043424813","1","1","1","10.000000000","0.000000000","101.733565898","101.733565898","108.231987127","100.148051253","4.043393027","0.000000000","0.000000000","1.1585514645","11","3889.899406863","0.000000000"
"10000000000","10000000000","1.043424813","1","1","1","10.000000000","0.971729216","1.585514645","1.600898776","108.231987127","0.000000000","102.170187300","0.000000000","0.000000000","1.2572627992","12","3891.923655515","0.000000000"
"10000000000","10000000000","1.043424813","1","1","1","10.000000000","0.971729216","1.585514645","1.616279960","108.231987127","0.000000000","100.148051253","0.000000000","0.000000000","1.2588009176","13","3893.973644506","0.000000000"
"10000000000","10000000000","1.043424813","1","1","1","10.000000000","0.971729216","1.585514645","1.631658157","108.231987127","0.000000000","0.000000000","0.000000000","0.000000000","1.2603387373","14","3994.122448707","0.000000000"
