price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,promised_amount,promised_fulfilled,price_calculated,epoch
"1","1","0","1","500000000","0","1000000000","1000000000","500000000","0","1","3"
"1","2","1","1","50750000000","500000000","50261666666","50261666666","0","50750000000","1.000229885044335","5"
"1.01142115","3","2","1","75304744860","1500000000","150261666666","150829623388","76164811645","0","1.0114211512780364","6"
"1.028946884","5","4","2","87200587062","335188355","176261666666","179114356443","89724772340","0","1.0289468853484358","8"
"1.051693685","6","5","2","91618077333","1610416015","186261666666","191097890728","96354153362","0","1.051693685196929","9"
"1.073459037","7","6","2","92853218475","1256262653","191261666666","198091990489","99674126486","0","1.073459038825202","10"
"1.104368512","9","8","2","92589947762","582136167","193261666666","203924709681","102253422836","0","1.1043685139000154","12"
"1.162377184","2","2","2","91166894776","677732756","102425917048","106247785488","0","105970318422","1.1728546695236186","18"
"1.183429745","3","2","3","88256026976","390581029","105000000000","105018146484","0","104444807498","1.1943516054905172","20"
"1.203529214","4","3","4","86087942177","1390581029","205000000000","205828125741","103609353381","0","1.2035292140678113","21"
"1.213305963","2","1","2","84665789097","451013622","103063398859","103063398859","0","102725506772","1.2226238435267578","23"
"1.232058043","3","2","2","83321223185","455210559","103000000000","103007764089","0","102656583176","1.2417361470831845","25"
"1.251074298","4","3","3","82025920062","1455210559","203000000000","203785830216","102620520359","0","1.2510742986903822","26"
"1.260744788","2","1","2","81068648102","1413751145","203000000000","203000000000","102206875564","0","1.2607447881997986","27"
"1.270099585","2","1","2","80294985769","1413751145","202551505158","202551505158","101982628102","0","1.2700995862231423","28"
"1.279617401","2","1","2","79612414129","1746861013","202000000000","202000000000","101873430455","0","1.2796174022926796","29"
"1.289091939","2","1","2","78981069944","302283131","102186139402","102849916853","0","101813860598","1.3060370042737846","32"
"1.318804158","4","3","4","77908674271","302283131","203186139402","205190284131","102746283572","0","1.3188041595035243","34"
"1.335823616","3","2","2","76758729399","198485201","103000000000","103006451035","0","102536123465","1.3445367978869194","36"
"1.352970144","4","3","3","75704652454","1198485201","203000000000","203653783992","102426134532","0","1.352970145701899","37"
"1.361688015","2","1","2","74938648083","1086117920","203000000000","203000000000","102043058953","0","1.3616880151611475","38"
"1.370129702","2","1","2","74327148446","476376005","102000000000","102000000000","0","101837833750","1.3787206713499969","40"
"1.386358685","3","2","2","73589933799","1476376005","202000000000","202567711776","102022043849","0","1.3863586861031578","41"
"1.394148283","1","0","1","73017799557","358944317","102000000000","102000000000","0","101797639880","1.401835510492142","43"
"1.405699086","2","1","2","72533097756","959709271","101000000000","101000000000","0","101959709220","1.4056990866981938","45"
"1.417064376","2","1","2","72000230708","28962123","102000000000","102000000000","0","102028962000","1.4170643777071048","47"
"1.428426293","2","1","2","71449412999","60220213","102000000000","102000000000","0","102060220147","1.428426293921105","49"
"1.435907108","2","1","2","70894112440","287926403","102000000000","102000000000","0","101797359966","1.4428268142798122","51"
"1.452996788","2","2","1","70285629944","124794594","102000000000","102471534291","0","102124794549","1.4597056178730063","54"
"1.470019703","4","3","2","69576629417","124794594","203000000000","204433237710","102279016111","0","1.470019704173966","56"
"1.483610543","1","0","1","68826897278","581717671","102000000000","102000000000","0","102112310442","1.4904306561526415","58"
"1.493869915","3","2","3","68295500553","581717671","203000000000","203467469575","102024593605","0","1.4938699155125879","60"
"1.506041088","3","2","2","67679371931","1445277094","202000000000","202410552906","101927914936","102024593605","1.506041089859948","61"
"1.564118195","3","2","2","66190784552","945340028","103000000000","103402843794","0","205458125393","1.5764760083788287","68"
"1.58262165","3","2","3","65004471706","284236362","103000000000","103003956360","0","206407694724","1.5889398069281804","70"
"1.602898657","3","2","2","64174033702","512380139","102000000000","102352092322","0","205741956700","1.6028986574018986","73"
"1.608439457","4","3","2","63483908869","1512380139","202000000000","202707667768","102110023906","102864472433","1.6084394584414385","74"
"1.614095158","2","1","2","63028833464","469069873","101613802926","101613802926","0","203844558814","1.6196218014618085","76"
"1.625162671","2","1","1","62588229141","68722493","102000000000","102000000000","0","203450588551","1.630797418202352","78"
"1.636304249","2","1","2","62156345716","58200367","102000000000","102000000000","0","203422746238","1.6419594683592966","80"
"1.646915193","2","1","1","61741561112","997266856","101000000000","101000000000","0","203389807628","1.6520033672452115","82"
"1.656961219","3","2","1","61348259069","1997266856","201000000000","201306105485","101651686130","101683115033","1.6569612203122126","83"
"1.662000287","3","3","1","61059202491","1345580726","201000000000","201615243425","101480412064","203334801163","1.6620002873761412","84"
"1.682089089","2","1","2","60551792262","1098628667","202000000000","202608389604","101853509081","203132098194","1.682089090762048","86"
"1.687112353","2","1","1","60208698107","157676705","101421161666","101421161666","0","304912759479","1.6871123536084267","88"
"1.692123919","3","2","1","59948498987","1157676705","201421161666","201722901472","101440289042","203432347415","1.6921239205171361","89"
"1.697206899","2","1","1","59729018921","1745006045","201000000000","201000000000","101372502983","304872636457","1.697206900318911","90"
"1.7378328539257835","3","2","2","117847381554","372503062","202000000000","204965917590","0","304391630359","1.7424096992592906","96"
"1.750081574","5","4","3","87830108495","472156627","152708621134","154042622153","0","356522646544","1.7592461335601814","99"
"1.76632292","4","3","3","72546146660","145005580","127346649063","127994916102","0","383222279105","1.7663229210856615","101"
"1.770402198","4","3","4","64797665081","560140355","114105530186","114458396475","0","396567704804","1.7750413797506692","103"
"1.77913441","5","4","4","60783422081","1560140355","214105530186","214723615256","108141877780","242857850285","1.7791344108084293","104"
"1.783535911","3","2","2","58706251627","898681008","103977821497","104054134235","0","327564514437","1.787762160490765","106"
"1.79183645","3","2","2","57536501588","335175710","103000000000","103002315499","0","315942586505","1.796033619648373","108"
"1.802182284","2","1","1","56822422824","404363768","102000000000","102000000000","0","310205072470","1.80218228436306","110"
"1.805823939","3","2","2","56376285332","1404363768","202000000000","202206927602","101805645644","205500364495","1.8058239404470595","111"
"1.809567513","2","1","2","56095363382","16694429","101697710221","101697710221","0","305718356594","1.8132408548161458","113"
"1.816932065","3","2","2","55841786346","1016694429","201697710221","201904769952","101460732178","203313992849","1.8169320654311003","114"
"1.822525254","2","2","2","55657555494","671935359","100972222021","101176503541","0","304406379844","1.8299121834587124","117"
"1.835491188","4","3","2","55369662644","671935359","201972222021","202589120397","101630527863","202898032639","1.83549118849495","119"
"1.842884463","3","2","3","55087525829","1836822950","201000000000","201203068047","101519945455","203067828324","1.8428844645724922","120"
"1.846235097","3","3","3","54896725729","1316877495","201000000000","201387646061","101352261749","304587773779","1.8462350980153117","121"
