immutable_pool_sui,immutable_pool_tokens,price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,all_time_promised_amount,promised_amount,promised_fulfilled,promised_amount_in_staked,extra_staked_in_promised,price_calculated,epoch,user_balance_sui,user_balance_tokens
"10000000000","10000000000","1","0","0","0","10.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","1","3","3989.906230312","0.000000000"
"10000000000","10000000000","1","1","0","1","110.000000000","0.000000000","100.000000000","100.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","1","4","3889.875692988","100.000000000"
"10000000000","10000000000","1","2","1","2","108.980000000","0.000000000","101.000000000","101.000000000","2.020000000","2.020000000","0.000000000","0.000000000","0.000000000","1","5","3888.865216252","98.980000000"
"10000000000","10000000000","1.010579333","3","2","3","107.970140789","0.000000000","102.000000000","103.152935752","4.040542847","4.040542847","0.000000000","0.000000000","0.000000000","1.0105793333939634","6","3887.854727356","97.970140789"
"10000000000","10000000000","1.021360675","4","3","3","106.970242313","0.000000000","103.000000000","105.316998730","6.061799828","6.061799828","0.000000000","0.000000000","0.000000000","1.0213606750774118","7","3886.844226300","96.970242313"
"10000000000","10000000000","1.013631307","5","4","4","105.980131969","0.000000000","102.047516981","105.472058474","10.067278738","8.047278738","0.000000000","2.020000000","0.000000000","1.0136313074928287","8","3885.832525812","95.980131969"
"10000000000","10000000000","1.024609154","5","5","4","10.000000000","0.000000000","100.116019025","104.614949325","110.429943402","106.389400555","0.000000000","4.040542847","0.000000000","0.822554877","9","3885.857646936","0.000000000"
"10000000000","10000000000","1.024609154","5","5","4","10.000000000","0.000000000","98.204882290","103.745627257","112.451200383","106.389400555","0.000000000","4.041799828","0.044985648","0.7356226702","10","3887.852585260","0.000000000"
"10000000000","10000000000","1.024609154","5","5","4","10.000000000","0.044985648","96.345793390","102.776851242","114.436679293","106.389400555","0.000000000","4.006735891","0.042267841","0.6432436335","11","3889.876055711","0.000000000"
"10000000000","10000000000","1.024609154","5","5","4","10.000000000","0.087253489","5.148733413","5.431966119","212.778801110","106.389400555","0.000000000","100.327600727","0.039612542","-9.0870180947","12","3891.900240296","0.000000000"
"10000000000","10000000000","1.024609154","5","5","4","10.000000000","0.126866031","5.148733413","5.484155546","212.778801110","106.389400555","0.000000000","98.342121817","0.038526146","-9.0778378978","13","3893.889834082","0.000000000"
"10000000000","10000000000","1.024609154","5","5","4","10.000000000","0.165392177","5.148733413","5.536334842","212.778801110","106.389400555","0.000000000","0.000000000","1.889520255","-9.0687673536","14","3992.235953971","0.000000000"
