immutable_pool_sui,immutable_pool_tokens,price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,all_time_promised_amount,promised_amount,promised_fulfilled,price_calculated,epoch
"10000000000","10000000000","1","1","0","1","109.990000000","1.000000000","100.000000000","100.000000000","1.010000000","1.010000000","0.000000000","1","5"
"10000000000","10000000000","1","2","1","2","109.980100000","0.000000000","102.000000000","102.000000000","2.019900000","2.019900000","0.000000000","1","6"
"10000000000","10000000000","1.010361234","3","2","3","109.960146569","0.000000000","103.000000000","104.139529584","3.040060171","3.040060171","0.000000000","1.0103612343157897","7"
"10000000000","10000000000","1.020926847","4","3","4","109.930252191","0.023015851","102.990000000","105.268310091","4.070580142","3.060580142","1.010000000","1.0209268473704851","8"
"10000000000","10000000000","1.031489588","4","4","4","109.890726686","0.013115851","102.990000000","106.429474835","5.111350288","3.091450288","2.019900000","1.0314895880330988","9"
"10000000000","10000000000","1.042153955","4","3","4","10.000998908","0.060526578","101.990000000","106.533818982","109.211825155","106.171764984","3.040060171","1.0421539560076112","10"
"10000000000","10000000000","1.042153955","3","3","3","10.000998908","0.062295077","100.990000000","106.535757476","109.211825155","105.141245013","4.070580142","1.1455663224635961","11"
"10000000000","10000000000","1.042153955","3","3","3","10.000998908","0.131044766","99.949229854","106.459946515","109.211825155","104.100474867","5.111350288","1.2489268850943065","12"
"10000000000","10000000000","1.042153955","1","1","1","10.000998908","0.513362603","3.000000000","3.000000000","109.211825155","0.000000000","0.000000000","1.3512012877224084","14"
