price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,all_time_promised_amount,promised_amount,promised_fulfilled,price_calculated,epoch
"1.457765853","3","2","2","92.225941197","0.912658544","129.985437357","137.599151842","67.346154145","4.067982464","63.278171681","1.457765853913273","64"
"1.463702693","3","3","2","91.980048648","0.558715034","129.985437357","138.146682499","68.706067729","4.073952538","64.632115191","1.4637026939420672","65"
"1.4697423553409026","3","3","2","92.660440008","0.202694542","129.985437357","138.702210841","68.706067729","2.717932046","65.988135683","1.469742355262311","66"
"1.475737178","4","3","3","92.404686769","0.301553145","129.627418895","138.800816715","70.083492290","2.737338145","67.346154145","1.4757371783088804","67"
"1.481685219","3","2","2","92.148798014","0.981914989","128.627418895","138.310168193","71.462638874","2.756571145","68.706067729","1.4816852197709232","68"
"1.493479681","5","4","4","91.892828808","0.099866487","129.249994334","139.905616157","72.848902232","2.765409942","70.083492290","1.493479681518436","70"
"1.504084808","4","4","4","91.634411121","0.747272564","128.249994334","139.857097580","74.241083298","2.778444424","71.462638874","1.5040848086861796","72"
"1.509458616","4","4","4","91.373931297","0.361009206","128.249994334","140.349523333","75.634266811","2.785364579","72.848902232","1.5094586169406545","73"
"1.514847358","5","4","4","91.113723176","0.361009206","129.249994334","141.841913831","77.028442394","4.179540162","72.848902232","1.514847358486129","74"
"1.520251103","4","3","2","90.853794154","0.267840252","142.000000000","142.035257089","78.423599774","4.182516476","74.241083298","1.520251103997719","75"
"1.520405818","3","2","2","90.596398157","0.920486809","141.000000000","141.003483388","79.814946144","4.180679333","75.634266811","1.520405818179397","76"
"1.525731484","3","3","2","90.339303266","0.526311226","141.000000000","141.485969532","81.207203912","4.178761518","77.028442394","1.5257314840491456","77"
"1.531148502","3","3","2","90.082483703","0.131153846","141.000000000","141.975339221","82.600432799","4.176833025","78.423599774","1.5311485027072644","78"
"1.536580582","2","1","2","89.825946586","0.190647248","142.000000000","142.013834717","83.994622750","4.179676606","79.814946144","1.5365805828369876","79"
"1.536657583","2","1","2","89.571942555","0.819140828","141.000000000","141.000000000","85.384939968","4.177736056","81.207203912","1.536657583232426","80"
"1.541472047","2","2","2","89.318466368","0.425911941","141.000000000","141.431240954","86.775666422","4.175233623","82.600432799","1.5414720479496176","81"
"1.546334251","2","2","2","89.065505511","0.031721990","141.000000000","141.865525539","88.166828458","4.172205708","83.994622750","1.5463342517490155","82"
"1.55120996","3","2","3","88.813061933","0.044568935","140.609682782","141.896618831","89.558421449","4.173481481","85.384939968","1.5512099604102274","83"
"1.556051012","2","1","2","88.561157242","0.980409962","141.000000000","141.000000000","90.950397996","4.174731574","86.775666422","1.5560510124256355","84"
"1.556085362","2","2","2","88.311757553","0.589247926","141.000000000","141.003042058","92.338485200","4.171656742","88.166828458","1.5560853622410071","85"
"1.560927419","2","2","2","88.062878307","0.197654935","141.000000000","141.430652666","93.726967637","4.168546188","89.558421449","1.5609274197669907","86"
"1.565782862","1","0","1","87.814521101","0.663915281","141.000000000","141.000000000","95.115841092","4.165443096","90.950397996","1.5657828621174843","87"
"1.565782862","1","1","1","87.568647467","0.275828077","141.000000000","141.000000000","96.500825812","4.162340612","92.338485200","1.5657828621444774","88"
"1.570620986","2","1","2","87.323284926","0.280000101","140.611517563","141.031013557","97.886197366","4.159229729","93.726967637","1.5706209866615297","89"
"1.575424635","3","2","2","87.078454082","0.288346245","140.222644108","141.053264323","99.271909908","4.156068816","95.115841092","1.575424635155043","90"
"1.579747549","2","1","1","86.834351950","0.333058555","141.000000000","141.000000000","100.657529651","4.156703839","96.500825812","1.5797475496216908","91"
"1.579778418","1","0","1","86.592678594","0.950367442","140.000000000","140.000000000","102.039320002","4.153122636","97.886197366","1.579778418073773","92"
"1.579778418","1","1","1","86.353421972","0.564654900","140.000000000","140.000000000","103.417292449","4.145382541","99.271909908","1.5797784180832324","93"
"1.58410041","1","1","1","86.114848136","0.179035157","140.000000000","140.373218812","104.795217359","4.137687708","100.657529651","1.584100410251695","94"
"1.58843414","2","1","2","85.876954956","0.186402243","139.618209649","140.357259937","106.173095005","4.133775003","102.039320002","1.588434140997327","95"
"1.592736752","3","2","3","85.639757049","0.197422042","139.240237202","140.337762828","107.550888828","4.133596379","103.417292449","1.5927367520783122","96"
"1.597039036","2","1","2","85.403256661","0.525706582","140.000000000","140.000000000","108.928589178","4.133371819","104.795217359","1.597039036864791","97"
"1.597069915","2","2","2","85.169109292","0.147828936","140.000000000","140.002637163","110.302538896","4.129443891","106.173095005","1.597069915826589","98"
"1.601393287","1","0","1","84.935629857","0.140889970","140.000000000","140.000000000","111.676431294","4.125542466","107.550888828","1.6013932872811945","99"
"1.601393287","2","1","2","84.704485217","0.140889970","139.622299650","139.622299650","113.046584767","4.117995589","108.928589178","1.6013932873034722","100"
"1.605246409","3","2","3","84.474168111","0.144124839","139.248349932","139.571491804","114.416300473","4.113761577","110.302538896","1.6052464096221422","101"
"1.609099364","2","1","2","84.244677434","0.667199436","139.000000000","139.000000000","115.785573773","4.109142479","111.676431294","1.6090993649207164","102"
"1.609127178","2","2","2","84.017471029","0.297045963","139.000000000","139.002343181","117.151177772","4.104593005","113.046584767","1.6091271789451425","103"
"1.612994582","1","0","1","83.791061554","0.254602933","139.000000000","139.000000000","118.516375027","4.100074554","114.416300473","1.61299458286369","104"
"1.612994582","2","1","2","83.566916174","0.254602933","138.630726700","138.630726700","119.877920309","4.092346536","115.785573773","1.6129945828841996","105"
"1.616826192","3","2","3","83.343557726","0.257779988","138.265122701","138.582141439","121.239052096","4.087874324","117.151177772","1.6168261924456162","106"
"1.620657618","2","1","2","83.120985288","0.794048889","138.000000000","138.000000000","122.599765811","4.083390784","118.516375027","1.6206576189905666","107"
"1.620685475","2","2","2","82.900628074","0.432503607","138.000000000","138.002315498","123.956895545","4.078975236","119.877920309","1.6206854759781708","108"
"1.624530922","2","2","2","82.681028476","0.071371820","138.000000000","138.321105422","125.313641881","4.074589785","121.239052096","1.6245309224230169","109"
