immutable_pool_sui,immutable_pool_tokens,price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,all_time_promised_amount,promised_amount,promised_fulfilled,promised_amount_in_staked,extra_staked_in_promised,all_time_extra_amount,still_waiting_for_sui_amount,price_calculated,epoch,user_balance_sui,user_balance_tokens
"10000000000","10000000000","1","0","0","0","10.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","1","3","3989.910904008","0.000000000"
"10000000000","10000000000","1","1","0","1","110.000000000","0.000000000","100.000000000","100.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","1","4","3889.880370332","100.000000000"
"10000000000","10000000000","1","2","1","2","100.900000000","0.000000000","101.000000000","101.000000000","10.100000000","10.100000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","1","5","3888.871367692","90.900000000"
"10000000000","10000000000","1.011426518","3","2","3","92.699832314","0.000000000","102.000000000","103.152935752","19.393867048","19.393867048","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","1.0114265189435518","6","3887.862352892","82.699832314"
"10000000000","10000000000","1.023983855","4","3","3","85.308769189","0.000000000","103.000000000","105.316998730","27.962196357","27.962196357","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","1.02398385539319","7","3886.853325932","75.308769189"
"10000000000","10000000000","1.037758051","5","4","3","78.645146442","0.000000000","94.237584903","97.392058474","35.877424510","25.777424510","0.000000000","10.100000000","0.000000000","0.000000000","0.000000000","1.037758051912205","8","3885.843099540","68.645146442"
"10000000000","10000000000","1.051407365","6","5","3","72.636627322","0.000000000","86.353296587","90.171643714","43.194825763","23.800958715","0.000000000","19.393867048","0.000000000","0.000000000","0.000000000","1.0514073658795697","9","3884.832860988","62.636627322"
"10000000000","10000000000","1.064925143","7","6","3","67.218094414","0.000000000","79.251779037","83.585200200","49.965157693","22.002961336","0.000000000","17.862196357","0.224928246","0.224928246","0.000000000","1.0649251438626182","10","3893.925738520","57.218094414"
"10000000000","10000000000","1.080266182","8","7","3","62.331966314","0.224928246","72.840412100","77.479303978","56.246541408","20.369116898","0.000000000","16.483557462","0.194418929","0.419347175","0.000000000","1.0802661829533247","11","3902.213442980","52.331966314"
"10000000000","10000000000","1.095245308","9","8","4","57.922816185","0.419347175","67.054657817","71.903976663","62.078456915","18.883631152","0.000000000","15.232629406","0.167921988","0.587269163","0.000000000","1.095245308573734","12","3909.775591461","47.922816185"
"10000000000","10000000000","1.10986089","10","9","4","53.943538037","0.587269163","61.835973403","66.814877051","67.497480718","17.532323025","0.000000000","14.087733183","0.153586867","0.740856030","0.000000000","1.109860890991895","13","3916.684620546","43.943538037"
